Element	Local node	Tensile Force	Longitudinal Stress User Defined Point
1	1	-6484.59713474939	-1235161358.99988
1	2	-6484.59713474939	-1235161358.99988
2	1	1900	361904761.904762
2	2	1900	361904761.904762
3	1	-766.179646036095	-145938980.197351
3	2	-766.179646036095	-145938980.197351
4	1	-4555.98850415582	-867807334.124917
4	2	-4555.98850415582	-867807334.124917
5	1	766.179646036103	145938980.197353
5	2	766.179646036103	145938980.197353
6	1	1050	200000000
6	2	1050	200000000
7	1	1937.98381056189	369139773.440359
7	2	1937.98381056189	369139773.440359
8	1	-3829.26641146838	-729384078.37493
8	2	-3829.26641146838	-729384078.37493
9	1	-1937.98381056189	-369139773.44036
9	2	-1937.98381056189	-369139773.44036
10	1	3199.99999999999	609523809.523808
10	2	3199.99999999999	609523809.523808
11	1	-3577.70876399966	-681468335.999935
11	2	-3577.70876399966	-681468335.999935
